player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
606,Christian Benteke,29,2380,13,8.455073807388544,2,2.9213200323283672,80,33,1,1,F S,Aston Villa,12,7.693904969841242,8.725395945832133,2.198609022423625,2014
890,Gabriel Agbonlahor,34,2698,6,5.630619659088552,1,1.5529494481161237,53,16,7,1,F S,Aston Villa,6,5.630619659088552,8.03916365839541,1.656528471969068,2014
596,Tom Cleverley,31,2543,3,1.7624463103711605,0,1.324876157566905,23,26,6,0,F M,Aston Villa,3,1.7624463103711605,5.728999013081193,4.119213178753853,2014
4427,Andreas Weimann,31,1782,3,2.7154510598629713,2,1.1188792865723372,33,20,5,0,F M S,Aston Villa,3,2.7154510598629713,4.3667837008833885,0.959268843755126,2014
663,Alan Hutton,30,2415,1,0.9324658196419477,0,1.9344748333096504,11,23,8,0,D S,Aston Villa,1,0.9324658196419477,5.218910496681929,3.3837523460388184,2014
667,Carlos Sánchez,28,1987,1,0.37070078309625387,0,0.7029734877869487,17,9,6,1,M S,Aston Villa,1,0.37070078309625387,3.6336567234247923,3.2398287523537874,2014
676,Jores Okore,23,2005,1,0.7885549813508987,0,0.5431606033816934,6,6,6,0,D S,Aston Villa,1,0.7885549813508987,3.5884106513112783,3.4798326902091503,2014
679,Scott Sinclair,9,456,1,1.002359464764595,0,0.10503842309117317,7,2,0,0,F M S,Aston Villa,1,1.002359464764595,1.437374770641327,0.49952336587011814,2014
875,Ciaran Clark,25,2000,1,2.3430711440742016,2,0.8780082920566201,16,6,8,1,D S,Aston Villa,1,2.3430711440742016,3.1968478662893176,2.2491843067109585,2014
1004,Joe Cole,12,263,1,0.2769551072269678,1,0.45160347409546375,4,7,0,0,F M S,Aston Villa,1,0.2769551072269678,0.6649401495233178,0.2615203270688653,2014
662,Brad Guzan,34,3060,0,0,0,0,0,0,2,0,GK,Aston Villa,0,0,1.110716718249023,1.110716718249023,2014
666,Aly Cissokho,25,2142,0,0.5833380706608295,0,0.4642173480242491,9,8,1,0,D S,Aston Villa,0,0.5833380706608295,2.171790214255452,1.7702652402222157,2014
669,Ashley Westwood,27,2155,0,0.5476268092170358,1,2.5225367061793804,18,35,4,0,M S,Aston Villa,0,0.5476268092170358,5.277237263508141,4.16853201109916,2014
670,Carles Gil,5,361,0,0.0863690497353673,1,0.8867846429347992,3,6,1,0,F M S,Aston Villa,0,0.0863690497353673,0.6940344497561455,0.658171035349369,2014
674,Leandro Bacuna,19,970,0,0.9967570099979639,5,1.846682097762823,17,17,1,0,D M S,Aston Villa,0,0.9967570099979639,3.605835674330592,2.1702732602134347,2014
675,Jack Grealish,17,798,0,1.0659914072602987,1,2.2867204509675503,13,18,0,0,F M S,Aston Villa,0,1.0659914072602987,3.6018656194210052,1.9990397356450558,2014
876,Fabian Delph,28,2435,0,1.542956312187016,3,2.4155405843630433,42,36,1,1,M S,Aston Villa,0,1.542956312187016,7.702491542324424,6.121815336868167,2014
889,Shay Given,3,270,0,0,0,0,0,0,1,0,GK,Aston Villa,0,0,0.025135856121778488,0.025135856121778488,2014
899,Kieran Richardson,22,1349,0,0.7576621742919087,1,1.1378548545762897,9,8,2,1,D F M S,Aston Villa,0,0.7576621742919087,3.913324545137584,2.1866521472111344,2014
1015,Rushian Hepburn-Murphy,1,5,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0,0,2014
1041,Nathan Baker,11,761,0,0.3110744934529066,0,0.2268700897693634,6,4,0,0,D S,Aston Villa,0,0.3110744934529066,0.8839892819523811,0.7373377345502377,2014
1066,Charles N&#039;Zogbia,27,1455,0,1.0603898195549846,2,1.4756778627634048,27,17,3,0,D F M S,Aston Villa,0,1.0603898195549846,4.7289251536130905,2.9079018346965313,2014
1652,Matthew Lowton,12,749,0,0.10120634734630585,0,0.4257537052035332,3,5,2,0,D S,Aston Villa,0,0.10120634734630585,1.6330731697380543,1.1808965243399143,2014
4433,Ron Vlaar,20,1644,0,1.1542237801477313,1,0.6243055462837219,14,2,3,1,D S,Aston Villa,0,1.1542237801477313,1.9896955387666821,1.9193971902132034,2014
4469,Philippe Senderos,8,631,0,0.6512037478387356,0,0.015057450160384178,5,1,2,0,D S,Aston Villa,0,0.6512037478387356,0.7687258012592793,0.7536683492362499,2014
4475,Jed Steer,1,90,0,0,0,0,0,0,0,0,GK,Aston Villa,0,0,0.10095680505037308,0.10095680505037308,2014
4508,Darren Bent,7,70,0,0.05773089453577995,0,0.008217819966375828,1,1,0,0,S,Aston Villa,0,0.05773089453577995,0.06594871450215578,0,2014
594,Romelu Lukaku,36,2880,10,12.43079612404108,5,2.350205834954977,105,37,1,0,F S,Everton,8,10.90853263437748,15.743810007348657,5.078922747634351,2014
595,Kevin Mirallas,29,1430,7,4.718503348529339,1,1.5895477198064327,52,18,3,0,F M S,Everton,7,3.957334525883198,6.504366559907794,2.2814471749588847,2014
824,Steven Naismith,31,2051,6,3.948357157409191,0,1.9437066242098808,33,25,8,0,F M S,Everton,6,3.948357157409191,7.202266559004784,2.953010508790612,2014
587,Phil Jagielka,37,3295,4,2.3946315087378025,0,0.07067899405956268,15,2,1,0,D,Everton,4,2.3946315087378025,7.111543036997318,7.00229761749506,2014
585,Seamus Coleman,35,3062,3,2.0100420601665974,2,2.727002407424152,19,34,5,0,D M S,Everton,3,2.0100420601665974,8.555337810888886,5.938952649012208,2014
