club_name,club_logo
Borussia M.Gladbach,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/32f3ee20.png
Mallorca,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/2aa12281.png
Montpellier,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/281b0e73.png
Clermont Foot,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/d9676424.png
Stuttgart,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/598bc722.png
Aston Villa,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/8602292d.png
Udinese,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/04eea015.png
Watford,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/2abfe087.png
Bochum,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/b42c6323.png
Troyes,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/54195385.png
Reims,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/7fdd64e0.png
Crystal Palace,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/47c64c55.png
Elche,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/6c8b07df.png
Sampdoria,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/8ff9e3b3.png
Southampton,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/33c895d4.png
Eint Frankfurt,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/f0ac8ee6.png
Venezia,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/af5d5982.png
Bordeaux,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/123f3efe.png
Celta Vigo,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/f25da7fb.png
Granada,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/a0435291.png
